"cc","all","hijacked","perc"
"",0,NA,NA
"AD",11,0,0
"AE",10,0,0
"AF",0,NA,NA
"AG",0,NA,NA
"AL",32,0,0
"AM",19,0,0
"AO",3,0,0
"AR",26,1,3.84615384615385
"AS",0,NA,NA
"AT",177,0,0
"AU",118,2,1.69491525423729
"AW",0,NA,NA
"AX",2,0,0
"AZ",1,0,0
"BA",8,0,0
"BB",2,0,0
"BD",15,0,0
"BE",183,2,1.09289617486339
"BF",1,0,0
"BG",71,2,2.8169014084507
"BH",3,0,0
"BI",1,0,0
"BJ",6,0,0
"BL",0,NA,NA
"BM",0,NA,NA
"BN",1,0,0
"BO",1,0,0
"BQ",1,0,0
"BR",43,0,0
"BT",5,0,0
"BW",1,0,0
"BY",14,0,0
"BZ",3,0,0
"CA",181,1,0.552486187845304
"CD",0,NA,NA
"CG",1,0,0
"CH",262,0,0
"CI",0,NA,NA
"CK",3,0,0
"CL",16,0,0
"CM",3,0,0
"CN",10,1,10
"CO",5,0,0
"CR",12,0,0
"CU",0,NA,NA
"CV",1,0,0
"CW",2,0,0
"CY",14,0,0
"CZ",241,7,2.9045643153527
"DE",1117,8,0.716204118173679
"DJ",0,NA,NA
"DK",133,1,0.75187969924812
"DO",11,0,0
"DZ",0,NA,NA
"EC",6,0,0
"EE",25,0,0
"EG",0,NA,NA
"ES",134,2,1.49253731343284
"ET",3,0,0
"FI",120,0,0
"FJ",4,0,0
"FM",3,0,0
"FO",3,0,0
"FR",729,5,0.685871056241427
"GA",0,NA,NA
"GB",556,8,1.43884892086331
"GD",0,NA,NA
"GE",10,0,0
"GF",1,0,0
"GG",0,NA,NA
"GH",1,0,0
"GI",2,0,0
"GL",1,0,0
"GM",2,0,0
"GP",2,0,0
"GQ",0,NA,NA
"GR",88,0,0
"GT",3,0,0
"GU",6,0,0
"GY",0,NA,NA
"HK",24,1,4.16666666666667
"HN",5,0,0
"HR",34,0,0
"HT",0,NA,NA
"HU",62,1,1.61290322580645
"ID",40,7,17.5
"IE",96,1,1.04166666666667
"IL",39,1,2.56410256410256
"IM",3,0,0
"IN",31,2,6.45161290322581
"IQ",5,1,20
"IR",48,2,4.16666666666667
"IS",10,0,0
"IT",273,1,0.366300366300366
"JE",0,NA,NA
"JM",1,0,0
"JO",3,0,0
"JP",124,1,0.806451612903226
"KE",16,0,0
"KG",4,0,0
"KH",1,0,0
"KI",0,NA,NA
"KM",0,NA,NA
"KN",0,NA,NA
"KR",14,2,14.2857142857143
"KW",4,0,0
"KY",1,0,0
"KZ",26,1,3.84615384615385
"LA",0,NA,NA
"LB",9,1,11.1111111111111
"LC",0,NA,NA
"LI",2,0,0
"LK",12,0,0
"LR",1,0,0
"LS",1,0,0
"LT",20,1,5
"LU",39,0,0
"LV",27,0,0
"LY",0,NA,NA
"MA",4,0,0
"MC",2,0,0
"MD",15,0,0
"ME",2,0,0
"MG",6,3,50
"MH",2,0,0
"MK",14,1,7.14285714285714
"ML",0,NA,NA
"MM",2,0,0
"MN",2,0,0
"MQ",0,NA,NA
"MR",0,NA,NA
"MT",13,0,0
"MU",6,0,0
"MV",8,0,0
"MW",4,0,0
"MX",9,1,11.1111111111111
"MY",24,0,0
"MZ",7,0,0
"N/A",0,NA,NA
"NC",5,0,0
"NE",0,NA,NA
"NG",2,0,0
"NI",0,NA,NA
"NL",477,1,0.209643605870021
"NO",110,0,0
"NP",5,0,0
"NR",0,NA,NA
"NU",0,NA,NA
"NZ",94,0,0
"OM",4,0,0
"PA",3,0,0
"PE",7,0,0
"PF",2,0,0
"PG",3,0,0
"PH",22,0,0
"PK",4,0,0
"PL",149,2,1.34228187919463
"PR",4,0,0
"PS",0,NA,NA
"PT",53,0,0
"PW",0,NA,NA
"PY",4,0,0
"QA",1,0,0
"RE",10,0,0
"RO",55,1,1.81818181818182
"RS",42,0,0
"RU",445,34,7.64044943820225
"RW",3,0,0
"SA",9,0,0
"SC",1,0,0
"SD",1,0,0
"SE",160,2,1.25
"SG",66,1,1.51515151515152
"SH",0,NA,NA
"SI",42,0,0
"SJ",2,0,0
"SK",45,0,0
"SM",3,0,0
"SN",1,0,0
"SO",0,NA,NA
"SR",3,0,0
"SS",2,0,0
"SV",2,0,0
"SX",0,NA,NA
"SY",0,NA,NA
"SZ",1,0,0
"TD",0,NA,NA
"TG",2,0,0
"TH",17,1,5.88235294117647
"TJ",1,0,0
"TL",0,NA,NA
"TM",2,0,0
"TN",5,0,0
"TO",0,NA,NA
"TR",28,1,3.57142857142857
"TT",3,0,0
"TW",5,0,0
"TZ",10,0,0
"UA",179,2,1.11731843575419
"UG",4,0,0
"US",978,12,1.22699386503067
"UY",11,0,0
"UZ",3,0,0
"VC",0,NA,NA
"VE",4,0,0
"VI",0,NA,NA
"VN",5,3,60
"VU",2,0,0
"WS",3,0,0
"YE",1,0,0
"ZA",69,0,0
"ZM",3,0,0
"ZW",2,0,0
